feature,importance_mean,importance_std
"cat__lat_long_36.303793, -119.375646",0.0,0.0
"cat__lat_long_36.315979, -119.710852",0.0,0.0
"cat__lat_long_36.319181, -117.593053",0.0,0.0
"cat__lat_long_36.362741, -121.869685",0.0,0.0
"cat__lat_long_36.37559, -119.211689",0.0,0.0
"cat__lat_long_36.385818, -119.224243",0.0,0.0
"cat__lat_long_36.391777, -119.372842",0.0,0.0
"cat__lat_long_36.397745, -120.119911",0.0,0.0
"cat__lat_long_36.413433, -118.854708",0.0,0.0
"cat__lat_long_36.414611, -121.6386",0.0,0.0
"cat__lat_long_36.444232, -119.718285",0.0,0.0
"cat__lat_long_35.652242, -119.4464",0.0,0.0
"cat__lat_long_35.405722, -117.773354",0.0,0.0
"cat__lat_long_35.637715, -119.893068",0.0,0.0
"cat__lat_long_34.95934, -120.490081",0.0,0.0
"cat__lat_long_34.89326, -116.505958",0.0,0.0
"cat__lat_long_34.903052, -118.411251",0.0,0.0
"cat__lat_long_34.907911, -119.234281",0.0,0.0
"cat__lat_long_34.936, -120.594655",0.0,0.0
"cat__lat_long_34.943523, -120.256729",0.0,0.0
"cat__lat_long_34.9436, -115.287901",0.0,0.0
"cat__lat_long_34.956577, -119.750142",0.0,0.0
"cat__lat_long_34.95703, -117.73045",0.0,0.0
"cat__lat_long_34.965648, -117.001509",0.0,0.0
"cat__lat_long_34.866032, -120.536546",0.0,0.0
"cat__lat_long_34.966777, -117.961179",0.0,0.0
"cat__lat_long_34.983808, -117.239306",0.0,0.0
"cat__lat_long_35.013299, -116.834092",0.0,0.0
"cat__lat_long_35.050345, -120.489599",0.0,0.0
"cat__lat_long_35.059695, -120.604741",0.0,0.0
"cat__lat_long_35.073777, -118.652112",0.0,0.0
"cat__lat_long_35.097323, -118.171288",0.0,0.0
"cat__lat_long_35.116307, -118.817644",0.0,0.0
"cat__lat_long_34.875144, -116.821698",0.0,0.0
"cat__lat_long_34.845861, -118.885163",0.0,0.0
"cat__lat_long_35.634488, -120.293534",0.0,0.0
"cat__lat_long_34.70434, -120.02609",0.0,0.0
"cat__lat_long_34.613476, -118.256358",0.0,0.0
"cat__lat_long_34.624399, -120.137875",0.0,0.0
"cat__lat_long_34.630356, -120.032564",0.0,0.0
"cat__lat_long_34.631362, -120.238218",0.0,0.0
"cat__lat_long_34.647959, -117.296957",0.0,0.0
"cat__lat_long_34.659579, -118.584212",0.0,0.0
"cat__lat_long_34.667815, -117.536183",0.0,0.0
"cat__lat_long_34.702766, -116.093376",0.0,0.0
"cat__lat_long_34.711224, -114.702256",0.0,0.0
"cat__lat_long_34.827662, -118.999073",0.0,0.0
"cat__lat_long_34.712708, -117.889656",0.0,0.0
"cat__lat_long_34.727529, -118.153098",0.0,0.0
"cat__lat_long_34.737031, -119.460557",0.0,0.0
"cat__lat_long_34.741406, -118.38111",0.0,0.0
"cat__lat_long_34.757477, -120.550507",0.0,0.0
"cat__lat_long_34.757783, -117.33997",0.0,0.0
"cat__lat_long_34.758699, -120.275839",0.0,0.0
"cat__lat_long_34.818227, -120.418784",0.0,0.0
"cat__lat_long_35.120833, -120.61843",0.0,0.0
"cat__lat_long_35.140938, -119.051348",0.0,0.0
